Campus,Year,Building,Room,RoomType,Start,End
UBCV,2023-2024,SWNG,309,General,2023-09-29 07:00,2023-09-29 10:00
UBCV,2023-2024,SWNG,309,General,2023-09-29 11:30,2023-09-29 22:00
UBCV,2023-2024,SWNG,309,General,2023-09-30 07:00,2023-09-30 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-01 07:00,2023-10-01 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-02 07:00,2023-10-02 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-03 07:00,2023-10-03 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-03 11:00,2023-10-03 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-04 07:00,2023-10-04 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-04 11:30,2023-10-04 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-05 07:00,2023-10-05 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-05 11:00,2023-10-05 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-06 07:00,2023-10-06 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-06 11:30,2023-10-06 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-07 07:00,2023-10-07 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-08 07:00,2023-10-08 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-09 07:00,2023-10-09 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-10 07:00,2023-10-10 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-10 12:30,2023-10-10 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-11 07:00,2023-10-11 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-11 11:30,2023-10-11 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-12 07:00,2023-10-12 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-12 11:00,2023-10-12 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-13 07:00,2023-10-13 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-13 11:30,2023-10-13 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-14 07:00,2023-10-14 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-15 07:00,2023-10-15 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-16 07:00,2023-10-16 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-17 07:00,2023-10-17 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-17 11:00,2023-10-17 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-18 07:00,2023-10-18 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-18 11:30,2023-10-18 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-19 07:00,2023-10-19 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-19 11:00,2023-10-19 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-20 07:00,2023-10-20 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-20 11:30,2023-10-20 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-21 07:00,2023-10-21 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-22 07:00,2023-10-22 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-23 07:00,2023-10-23 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-24 07:00,2023-10-24 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-24 11:00,2023-10-24 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-25 07:00,2023-10-25 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-25 11:30,2023-10-25 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-26 07:00,2023-10-26 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-26 12:30,2023-10-26 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-27 07:00,2023-10-27 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-27 11:30,2023-10-27 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-28 07:00,2023-10-28 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-29 07:00,2023-10-29 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-30 07:00,2023-10-30 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-30 12:00,2023-10-30 22:00
UBCV,2023-2024,SWNG,309,General,2023-10-31 07:00,2023-10-31 10:00
UBCV,2023-2024,SWNG,309,General,2023-10-31 11:00,2023-10-31 22:00
UBCV,2023-2024,SWNG,309,General,2023-11-01 07:00,2023-11-01 10:00
UBCV,2023-2024,SWNG,309,General,2023-11-01 11:30,2023-11-01 22:00
UBCV,2023-2024,SWNG,309,General,2023-11-02 07:00,2023-11-02 10:00
UBCV,2023-2024,SWNG,309,General,2023-11-02 12:30,2023-11-02 22:00
